Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Estonia,EST,Net migration,-3230.0,-3422.0,-2984.0,-3780.0,-3768.0,-5242.0,-5403.0,-2862.0,-1973.0,-1939.0,-3759.0,-3929.0,-3646.0,-2650.0,-562.0,4308.0,1164.0,5329.0,7229.0,5410.0,2995.0,2995.0
Ethiopia,ETH,Net migration,-49892.0,-19067.0,-12921.0,-13744.0,-25428.0,-44423.0,-30511.0,-389.0,-20776.0,16319.0,80213.0,116793.0,119512.0,80953.0,103119.0,62784.0,115812.0,71769.0,9309.0,-10803.0,38867.0,-1391.0
European Union,EUU,Net migration,773989.0,519142.0,1235010.0,1438983.0,1416131.0,1238908.0,1257909.0,1682488.0,1231121.0,825168.0,720366.0,677777.0,587283.0,396229.0,526035.0,692113.0,788042.0,920207.0,1075197.0,1192639.0,872273.0,910755.0
Fragile and conflict affected situations,FCS,Net migration,-1459744.0,-711502.0,819370.0,-56296.0,-504508.0,-127235.0,-862159.0,-1353998.0,-314753.0,-437243.0,-646810.0,-1207009.0,-476685.0,-1094722.0,-1760926.0,-2267617.0,-1474058.0,-2320673.0,-1880351.0,-1468098.0,-499628.0,-1268196.0
Finland,FIN,Net migration,2428.0,6395.0,5250.0,6039.0,6872.0,9406.0,10801.0,13940.0,15579.0,14757.0,14053.0,16712.0,17620.0,18026.0,15950.0,12433.0,17210.0,13307.0,11646.0,15558.0,17482.0,14928.0
Fiji,FJI,Net migration,-6081.0,-6207.0,-6349.0,-6513.0,-6639.0,-6729.0,-7016.0,-8101.0,-9625.0,-10445.0,-10666.0,-10836.0,-10945.0,-11000.0,-11023.0,-11047.0,-11139.0,-11605.0,-11738.0,-11865.0,-6003.0,-6003.0
France,FRA,Net migration,102857.0,122247.0,137513.0,148696.0,154947.0,155943.0,151814.0,142170.0,128627.0,108940.0,86355.0,65188.0,49080.0,36552.0,26585.0,18807.0,14729.0,13175.0,14391.0,17403.0,18335.0,20614.0
Faroe Islands,FRO,Net migration,332.0,396.0,369.0,317.0,390.0,-151.0,-187.0,-156.0,-162.0,-159.0,-116.0,-109.0,-149.0,-118.0,-111.0,542.0,537.0,622.0,653.0,580.0,498.0,0.0
"Micronesia, Fed. Sts.",FSM,Net migration,-2688.0,-2733.0,-2816.0,-2974.0,-3038.0,-3055.0,-3133.0,-3123.0,-3069.0,-2971.0,-1799.0,-1719.0,-1633.0,-1561.0,-1482.0,-1415.0,-1348.0,-1283.0,-1283.0,-1283.0,-635.0,-635.0
Gabon,GAB,Net migration,3086.0,3802.0,4579.0,5435.0,6827.0,8555.0,10386.0,12047.0,13448.0,15277.0,17266.0,18969.0,19971.0,19581.0,16566.0,12041.0,7395.0,4019.0,2893.0,2230.0,1514.0,1516.0
